REGIONID,PRODUCTGROUP,ITEM,TARGETWEEK,PLANWEEK,PRICE,DISCOUNT
A01,PRODUCT33,ITEM02203,201619,201619,0,262
A01,PRODUCT33,ITEM01011,201632,201630,1099,318
A01,PRODUCT33,ITEM01013,201631,201630,799,185
A01,PRODUCT33,ITEM02812,201619,201619,0,262
A01,PRODUCT33,ITEM02235,201632,201630,899,173
A01,PRODUCT33,ITEM01013,201633,201630,799,185
A01,PRODUCT33,ITEM01636,201632,201630,1299,407
A01,PRODUCT33,ITEM03356,201633,201630,999,218
A01,PRODUCT33,ITEM02809,201631,201630,999,273
A01,PRODUCT33,ITEM03921,201630,201630,699,140
A01,PRODUCT33,ITEM04556,201633,201630,1199,251
A01,PRODUCT33,ITEM02217,201630,201630,999,273
A01,PRODUCT33,ITEM00430,201632,201630,1099,262
A01,PRODUCT33,ITEM03344,201632,201630,1199,307
A01,PRODUCT33,ITEM04532,201632,201630,1099,262
A01,PRODUCT33,ITEM02828,201631,201630,1599,262
A01,PRODUCT33,ITEM04556,201631,201630,1199,251
A01,PRODUCT33,ITEM02216,201632,201630,1499,273
A01,PRODUCT33,ITEM03345,201633,201630,1299,296
A01,PRODUCT33,ITEM03921,201629,201629,699,162
A01,PRODUCT33,ITEM03906,201633,201630,1199,418
A01,PRODUCT33,ITEM02802,201632,201630,899,229
A01,PRODUCT33,ITEM03921,201632,201630,699,140
A01,PRODUCT33,ITEM04549,201631,201630,1199,307
A01,PRODUCT33,ITEM03356,201626,201626,999,273
A01,PRODUCT33,ITEM03356,201627,201627,999,273
A01,PRODUCT33,ITEM03356,201628,201628,999,273
A01,PRODUCT33,ITEM02203,201420,201601,1099,205
A01,PRODUCT33,ITEM02203,201421,201601,1099,205
A01,PRODUCT33,ITEM02203,201422,201601,1099,205
A01,PRODUCT33,ITEM02203,201423,201601,1099,205
A01,PRODUCT33,ITEM02203,201428,201601,1099,207
A01,PRODUCT33,ITEM02203,201429,201601,1099,207
A01,PRODUCT33,ITEM02203,201430,201601,1099,207
A01,PRODUCT33,ITEM02203,201434,201601,1099,262
